Generacion tiempo_crossover tiempo_mutation tiempo_lso N1 N2 Fitness
G20 1.5039381980895996 1.5169448852539062 2.900252103805542 [0, 20, 28, 33, 34, 38, 9, 0, 39, 40, 5, 13, 0, 21, 10, 37, 35, 0, 19, 25, 17, 7, 27, 0, 18, 6, 8, 0, 31, 36, 2, 3, 29, 0, 12, 15, 22, 11, 0, 30, 4, 26, 24, 32, 0, 1, 23, 16, 14, 0] [3, 2, 2, 2, 1, 3, 1, 3, 2] 5581312.578960328
G21 1.5199038982391357 1.5229275226593018 2.9371469020843506 [0, 20, 28, 33, 34, 38, 9, 0, 12, 29, 3, 2, 0, 36, 31, 8, 6, 18, 0, 27, 7, 17, 25, 19, 0, 35, 37, 10, 0, 21, 13, 5, 40, 39, 15, 0, 11, 22, 30, 4, 0, 26, 24, 32, 1, 23, 0, 16, 14, 0] [3, 2, 2, 2, 1, 3, 1, 3, 2] 6008622.793303826
G22 1.522886037826538 1.5229010581970215 2.925177812576294 [0, 20, 28, 33, 34, 38, 9, 0, 12, 29, 3, 2, 0, 36, 31, 8, 6, 18, 0, 27, 7, 17, 25, 19, 0, 35, 37, 10, 0, 21, 13, 5, 40, 39, 15, 0, 11, 22, 30, 4, 0, 26, 24, 32, 1, 23, 0, 16, 14, 0] [3, 2, 2, 2, 1, 3, 1, 3, 2] 6008622.793303826
G23 1.4979629516601562 1.5109591484069824 2.8693268299102783 [0, 20, 28, 33, 34, 38, 9, 0, 12, 29, 3, 2, 0, 36, 31, 8, 6, 18, 0, 27, 7, 17, 25, 19, 0, 35, 37, 10, 0, 21, 13, 5, 40, 39, 15, 0, 11, 22, 30, 4, 0, 26, 24, 32, 1, 23, 0, 16, 14, 0] [3, 2, 2, 2, 1, 3, 1, 3, 2] 6008622.793303826
G24 1.5109260082244873 1.5149798393249512 2.90024471282959 [0, 20, 28, 33, 34, 38, 9, 0, 12, 29, 3, 2, 0, 36, 31, 8, 6, 18, 0, 27, 7, 17, 25, 19, 0, 35, 37, 10, 0, 21, 13, 5, 40, 39, 15, 0, 11, 22, 30, 4, 0, 26, 24, 32, 1, 23, 0, 16, 14, 0] [3, 2, 2, 2, 1, 3, 1, 3, 2] 6008622.793303826
G25 1.5229623317718506 1.5398473739624023 2.9136757850646973 [0, 20, 28, 33, 38, 34, 24, 0, 12, 29, 3, 2, 0, 36, 31, 8, 6, 0, 10, 37, 35, 19, 0, 25, 17, 7, 27, 0, 18, 21, 13, 5, 40, 0, 39, 15, 11, 22, 0, 30, 4, 26, 9, 32, 0, 1, 23, 16, 14, 0] [3, 2, 2, 2, 1, 3, 1, 3, 2] 6201124.697249389
G26 1.5329010486602783 1.5319032669067383 2.9491143226623535 [0, 27, 32, 39, 34, 16, 20, 0, 35, 37, 13, 8, 26, 0, 19, 28, 24, 10, 0, 29, 18, 3, 23, 17, 0, 22, 25, 30, 36, 0, 14, 6, 21, 40, 2, 0, 12, 15, 33, 0, 31, 38, 9, 5, 7, 0, 1, 4, 11, 0] [3, 2, 2, 2, 1, 3, 1, 3, 2] 6590034.6246710485
G27 1.5189383029937744 1.5398507118225098 2.9381744861602783 [0, 27, 32, 39, 34, 16, 20, 0, 35, 37, 13, 8, 26, 0, 19, 28, 24, 10, 0, 29, 18, 3, 23, 17, 0, 22, 25, 30, 36, 0, 14, 6, 21, 40, 2, 0, 12, 15, 33, 0, 31, 38, 9, 5, 7, 0, 1, 4, 11, 0] [3, 2, 2, 2, 1, 3, 1, 3, 2] 6590034.6246710485
G28 1.538886308670044 1.5293705463409424 2.886282444000244 [0, 15, 19, 37, 4, 36, 20, 0, 1, 34, 28, 31, 40, 0, 18, 3, 12, 25, 0, 2, 8, 10, 29, 0, 7, 21, 30, 0, 14, 32, 9, 6, 24, 39, 0, 16, 17, 22, 11, 0, 27, 35, 23, 38, 5, 33, 0, 26, 13, 0] [3, 2, 2, 2, 1, 3, 1, 3, 2] 6495603.70619041
G29 1.5228924751281738 1.5338983535766602 2.900731086730957 [0, 15, 19, 37, 36, 4, 20, 0, 1, 34, 28, 31, 40, 0, 18, 3, 12, 25, 0, 2, 8, 10, 29, 0, 7, 21, 30, 0, 14, 32, 9, 6, 24, 39, 0, 16, 17, 22, 11, 0, 27, 35, 23, 38, 5, 33, 0, 26, 13, 0] [3, 2, 2, 2, 1, 3, 1, 3, 2] 6468272.6051649805
G30 1.5218980312347412 1.54988694190979 2.9720211029052734 [0, 7, 25, 38, 28, 8, 26, 17, 0, 40, 30, 36, 31, 0, 10, 39, 12, 0, 1, 4, 34, 23, 11, 0, 2, 27, 29, 0, 24, 5, 33, 37, 21, 0, 13, 16, 6, 0, 18, 19, 20, 3, 14, 22, 0, 35, 32, 9, 15, 0] [3, 2, 2, 2, 1, 3, 1, 3, 2] 6709030.870009185
